Index,EmployerName,JobTitle,CaseStatus,NewChgEmp,WageInfo,DecisionDate,StartDate,WorkSite,MoreInfo,College,Citizenship
296,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, GUIDEWIRE TECHNOLOGY",Certified,,126000.00/Year,2018-04-12,,"Chicago,IL",https://h1bsalary.online//extended_perm_data.php?PermID=2347437,ANNA UNIVERSITY,INDIA
377,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, SALESFORCE TECHNOLOGY",Certified,,116000.00/Year,2018-04-12,,"Chicago,IL",https://h1bsalary.online//extended_perm_data.php?PermID=2368072,INDIANA UNIVERSITY,INDIA
231,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,ADVISORY MANAGER - RISK & REGULATORY CONSULTING,Certified,,135886.00/Year,2018-04-09,,"New York,NY",https://h1bsalary.online//extended_perm_data.php?PermID=2404633,BRANDEIS UNIVERSITY,CHINA
185,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, DATA & ANALYTICS",Certified,,139277.00/Year,2018-04-03,,"San Francisco,CA",https://h1bsalary.online//extended_perm_data.php?PermID=2343712,THE UNIVERSITY OF TEXAS AT DALLAS,INDIA
214,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, CYBERSECURITY AND PRIVACY",Certified-Expired,,137000.00/Year,2018-04-02,,"MCLEAN,VA",https://h1bsalary.online//extended_perm_data.php?PermID=2340636,INHOLLAND UNIVERSITY OF APPLIED SCIENCES,NETHERLANDS
447,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, IDM",Certified-Expired,,109013.00/Year,2018-04-02,,"Dallas,TX",https://h1bsalary.online//extended_perm_data.php?PermID=2331775,KIIT UNIVERSITY,INDIA
367,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, WORKDAY HUMAN CAPITAL MANAGEMENT",Certified,,117458.00/Year,2018-03-29,,"Austin,TX",https://h1bsalary.online//extended_perm_data.php?PermID=2357386,THE UNIVERSITY OF TEXAS AT DALLAS,INDIA
176,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"MANAGER, IT & STRATEGY ENTERPRISE ARCHITECT",Certified,,140000.00/Year,2018-03-29,,"New York,NY",https://h1bsalary.online//extended_perm_data.php?PermID=2354322,CARNEGIE MELLON UNIVERISTY,INDIA
91,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, SAP SUPPLY CHAIN MANAGEMENT",Certified,,154000.00/Year,2018-03-28,,"NEW YORK,NY",https://h1bsalary.online//extended_perm_data.php?PermID=2351794,"VISVESVARAIAH TECHNOLOGICAL UNIVERSITY, BELGAUM",INDIA
130,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, FINANCIAL SERVICES",Certified-Expired,,147430.00/Year,2018-03-28,,"SAN JOSE,CA",https://h1bsalary.online//extended_perm_data.php?PermID=2340442,UNIVERSITY OF MARYLAND,CHINA
434,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, FINANCIAL SERVICES",Certified-Expired,,110760.00/Year,2018-03-28,,"DALLAS,TX",https://h1bsalary.online//extended_perm_data.php?PermID=2340402,SYMBIOSIS INTERNATIONAL UNIVERSITY,INDIA
301,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, SALESFORCE TECHNOLOGY",Certified,,125258.00/Year,2018-03-28,,"Atlanta,GA",https://h1bsalary.online//extended_perm_data.php?PermID=2347742,"INDIAN INSTITUTE OF TECHNOLOGY, KANPUR",INDIA
334,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, SALESFORCE TECHNOLOGY",Certified,,121000.00/Year,2018-03-27,,"Atlanta,GA",https://h1bsalary.online//extended_perm_data.php?PermID=2353465,MADURAI KAMARAJ UNIVERSITY,INDIA
414,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, DATA CENTER AND COMPUTING TECHNOLOGY",Certified,,112528.00/Year,2018-03-26,,"Dallas,TX",https://h1bsalary.online//extended_perm_data.php?PermID=2359166,VELLORE INSTITUTE OF TECHNOLOGY UNIVERSITY,INDIA
415,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, MICROSOFT DYNAMICS",Certified,,112528.00/Year,2018-03-23,,"Dallas,TX",https://h1bsalary.online//extended_perm_data.php?PermID=2347336,THE UNIVERSITY OF TEXAS AT DALLAS,INDIA
410,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, MICROSOFT DYNAMICS",Certified,,113000.00/Year,2018-03-22,,"Chicago,IL",https://h1bsalary.online//extended_perm_data.php?PermID=2346646,SRI VENKATESWARA UNIVERSITY,INDIA
372,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, CYBERSECURITY AND PRIVACY",Certified,,116709.00/Year,2018-03-22,,"Houston,TX",https://h1bsalary.online//extended_perm_data.php?PermID=2347903,TEXAS A&M UNIVERSITY,INDIA
108,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, STRATEGY OPERATIONS",Certified,,152000.00/Year,2018-03-21,,"BOSTON,MA",https://h1bsalary.online//extended_perm_data.php?PermID=2351020,HARVARD UNIVERSITY,INDIA
48,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, M&A",Certified,,167000.00/Year,2018-03-06,,"New York,NY",https://h1bsalary.online//extended_perm_data.php?PermID=2345296,"UNIVERSITY OF CALIFORNIA, BERKELEY",INDIA
49,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, M&A",Certified,,167000.00/Year,2018-03-06,,"New York,NY",https://h1bsalary.online//extended_perm_data.php?PermID=2350886,COLUMBIA UNIVERSITY,CANADA
215,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, FINANCIAL SERVICES",Certified,,137000.00/Year,2018-03-05,,"Florham Park,NJ",https://h1bsalary.online//extended_perm_data.php?PermID=2343627,CORNELL UNIVERSITY,INDIA
285,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, BUSINESS APPLICATIONS",Certified,,127878.00/Year,2018-03-05,,"New York,NY",https://h1bsalary.online//extended_perm_data.php?PermID=2359497,UNIVERSITY OF MICHIGAN,INDIA
286,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, DATA & ANALYTICS",Certified,,127878.00/Year,2018-03-05,,"NEW YORK,NY",https://h1bsalary.online//extended_perm_data.php?PermID=2303817,CARNEGIE MELLON UNIVERSITY,INDIA
287,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, DATA & ANALYTICS",Certified,,127878.00/Year,2018-03-05,,"NEW YORK,NY",https://h1bsalary.online//extended_perm_data.php?PermID=2308686,CARNEGIE MELLON UNIVERSITY,INDIA
191,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, STRATEGY OPERATIONS",Certified,,138507.00/Year,2018-03-01,,"HOUSTON,TX",https://h1bsalary.online//extended_perm_data.php?PermID=2310050,STATE UNIVERSITY OF NEW YORK AT BUFFALO,INDIA
55,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, FORENSIC TECHNOLOGY INVESTIGATIVE ANALYTICS",Denied,,165006.00/Year,2018-03-01,,"NEW YORK,NY",https://h1bsalary.online//extended_perm_data.php?PermID=2382490,STEVENS INSTITUTE OF TECHNOLOGY,CHINA
16,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, CORPORATE & BUSINESS STRATEGY",Certified-Expired,,197000.00/Year,2018-03-01,,"Chicago,IL",https://h1bsalary.online//extended_perm_data.php?PermID=2334162,THE UNIVERSITY OF CHICAGO,INDIA
284,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, COMPUTING TECHNOLOGY",Certified-Expired,,127878.00/Year,2018-03-01,,"New York,NY",https://h1bsalary.online//extended_perm_data.php?PermID=2332560,NEW YORK UNIVERSITY,INDIA
489,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY SENIOR ASSOCIATE, FCU TECHNOLOGY",Certified,,101000.00/Year,2018-02-28,,"New York,NY",https://h1bsalary.online//extended_perm_data.php?PermID=2352964,CORNELL UNIVERSITY,FRANCE
283,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, ANALYTICS AND MODEL RISK",Denied,,127878.00/Year,2018-02-27,,"NEW YORK,NY",https://h1bsalary.online//extended_perm_data.php?PermID=2382463,UNIVERSITY OF PUNE,INDIA
473,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,CAPITAL PROJECTS & INFRASTRUCTURE SENIOR ASSOCIATE,Certified,,105000.00/Year,2018-02-26,,"Los Angeles,CA",https://h1bsalary.online//extended_perm_data.php?PermID=2352642,THE UNIVERSITY OF ESSEX,UNITED KINGDOM
254,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, CONSUMER MARKETS HCM",Certified,,133000.00/Year,2018-02-20,,"DALLAS,TX",https://h1bsalary.online//extended_perm_data.php?PermID=2343818,UNIVERSITY OF MUMBAI,INDIA
194,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, HEALTHCARE OPERATIONS",Certified-Expired,,138000.00/Year,2018-02-16,,"Los Angeles,CA",https://h1bsalary.online//extended_perm_data.php?PermID=2327142,UNIVERSITY OF CALIFORNIA,INDIA
385,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, SALESFORCE TECHNOLOGY",Certified-Expired,,115482.00/Year,2018-02-16,,"Chicago,IL",https://h1bsalary.online//extended_perm_data.php?PermID=2327551,SRM UNIVERSITY,INDIA
374,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, DATA & ANALYTICS TECHNOLOGIES",Certified,,116584.00/Year,2018-02-15,,"Houston,TX",https://h1bsalary.online//extended_perm_data.php?PermID=2352048,INDIANA UNIVERSITY,INDIA
141,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, DATA & ANALYTICS",Certified-Expired,,146000.00/Year,2018-02-15,,"San Jose,CA",https://h1bsalary.online//extended_perm_data.php?PermID=2334958,SAN JOSE STATE UNIVERSITY,INDIA
253,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, FORENSIC TECHNOLOGY & EDISCOVERY COMPUTER FORENSICS",Certified-Expired,,133931.00/Year,2018-02-15,,"San Francisco,CA",https://h1bsalary.online//extended_perm_data.php?PermID=2340371,SYRACUSE UNIVERSITY,INDIA
233,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, CORPORATE & BUSINESS STRATEGY",Certified-Expired,,135886.00/Year,2018-02-15,,"New York,NY",https://h1bsalary.online//extended_perm_data.php?PermID=2339635,NEW YORK UNIVERSITY,INDIA
235,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, APPLICATION TECHNOLOGY",Certified,,135283.00/Year,2018-02-14,,"New York,NY",https://h1bsalary.online//extended_perm_data.php?PermID=2368068,GEORGIA STATE UNIVERSITY,INDIA
19,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"DIRECTOR, TC CYBERSECURITY AND PRIVACY",Certified-Expired,,195000.00/Year,2018-02-14,,"Fort Lauderdale,FL",https://h1bsalary.online//extended_perm_data.php?PermID=2336093,THE UNIVERSITY OF WESTMINSTER,INDIA
463,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, CYBERSECURITY AND PRIVACY",Certified,,107640.00/Year,2018-02-13,,"Philadelphia,PA",https://h1bsalary.online//extended_perm_data.php?PermID=2350576,THE PENNSYLVANIA STATE UNIVERSITY,INDIA
490,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY SR. ASSOCIATE, ANALYTICS DATA SCIENTIST",Certified,,100000.00/Year,2018-02-13,,"Chicago,IL",https://h1bsalary.online//extended_perm_data.php?PermID=2312344,GEORGIA INSTITUTE OF TECHNOLOGY,SOUTH KOREA
26,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, STRATEGY OPERATIONS",Certified,,187000.00/Year,2018-02-09,,"CHICAO,IL",https://h1bsalary.online//extended_perm_data.php?PermID=2302034,THE UNIVERSITY OF CHICAGO,UNITED KINGDOM
138,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, CYBERSECURITY AND PRIVACY",Certified,,146994.00/Year,2018-02-08,,"SAN JOSE,CA",https://h1bsalary.online//extended_perm_data.php?PermID=2354447,TEXAS A&M UNIVERSITY,INDIA
318,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, FM OPERATIONS",Certified-Expired,,124883.00/Year,2018-02-08,,"McLean,VA",https://h1bsalary.online//extended_perm_data.php?PermID=2332877,CASE WESTERN RESERVE UNIVERSITY,CHINA
321,PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,"ADVISORY MANAGER, APPLICATION TECHNOLOGY",Certified,,123594.00/Year,2018-02-05,,"Florham Park,NJ",https://h1bsalary.online//extended_perm_data.php?PermID=2308517,"VISVESVARAYA TECHNOLOGICAL UNIVERSITY, BELGAUM",INDIA
